369,284
369,285
370,285
373,287
377,290
391,302
402,321
410,332
423,349
430,359
501,359
638,378
673,387
697,393
726,402
733,404
739,406
744,407
747,407
755,406
772,387
1013,364
1119,379
1365,493
1365,453
1365,444
1365,403
1364,394
1355,360
1345,339
1336,326
1324,319
1312,317
1294,279
1266,215
1259,196
1255,184
1253,172
1249,159
1249,154
1245,151
1145,138
1158,105
1178,72
1182,66
1182,65
1183,62
1157,56
978,59
859,75
809,81
729,87
705,87
691,87
682,86
674,84
669,83
619,79
588,72
562,62
557,58
547,53
532,39
531,38
529,34
527,32
526,31
525,30
522,29
512,21
Clicked
509,29
509,55
510,65
525,112
533,133
539,144
549,186
550,190
546,216
544,227
539,269
536,282
536,296
542,362
546,404
547,410
547,419
547,423
547,425
547,426
Clicked
p
a
k
i
s
t
a
n
enter
547,422
547,419
541,383
540,369
540,360
540,349
541,338
557,281
563,272
576,252
580,233
614,148
629,117
673,37
677,29
680,25
680,22
686,22
692,22
700,21
701,21
702,20
705,15
706,13
Clicked
701,22
697,34
689,52
659,156
652,188
649,201
643,230
641,240
635,244
557,295
466,367
417,404
410,410
400,420
392,424
390,424
378,432
343,462
326,478
323,481
320,485
325,481
375,439
394,420
401,414
406,408
429,370
427,359
427,354
425,343
423,339
422,335
421,330
420,323
420,318
422,314
428,305
429,304
430,303
440,297
440,296
440,294
440,290
Clicked
442,289
447,289
456,287
555,262
764,229
888,236
953,252
972,258
976,259
979,261
979,262
980,263
Clicked
970,267
913,286
881,286
835,286
583,312
575,317
556,326
538,329
516,335
410,391
326,448
316,455
307,460
295,471
294,473
293,475
292,477
291,479
288,484
291,492
297,492
317,492
349,493
355,494
358,499
357,500
357,501
357,502
357,504
Clicked
